	GS000a.fa.comb	GS000b.fa.comb	GS000c.fa.comb	GS000d.fa.comb	GS001a.fa.comb	GS001b.fa.comb	GS001c.fa.comb	GS002.fa.comb	GS003.fa.comb	GS004.fa.comb	GS005.fa.comb	GS006.fa.comb	GS007.fa.comb	GS008.fa.comb	GS009.fa.comb	GS010.fa.comb	GS011.fa.comb	GS012.fa.comb	GS013.fa.comb	GS014.fa.comb	GS015.fa.comb	GS016.fa.comb	GS017.fa.comb	GS018.fa.comb	GS019.fa.comb	GS020.fa.comb	GS021.fa.comb	GS022.fa.comb	GS023.fa.comb	GS025.fa.comb	GS026.fa.comb	GS027.fa.comb	GS028.fa.comb	GS029.fa.comb	GS030.fa.comb	GS031.fa.comb	GS032.fa.comb	GS033.fa.comb	GS034.fa.comb	GS035.fa.comb	GS036.fa.comb	GS037.fa.comb	GS047.fa.comb	GS051.fa.comb
GS000a.fa.comb	0.0	0.964779049374	0.969606574541	0.965259096429	0.997404273025	0.996909293903	0.983133715447	0.999945108443	0.999997163764	0.999991385672	0.999988647426	0.999980091975	0.999979842629	0.999966373948	0.999961264868	0.999927963771	0.999986978997	0.999994803285	0.999974411071	0.996848946196	0.993877421305	0.995279475059	0.987697750395	0.992079338877	0.994818200493	0.99997446564	0.998599347652	0.998745453904	0.995817699065	0.999188721661	0.997518301189	0.999036545426	0.999161669311	0.999661972122	0.99786378274	0.997577679091	0.99957805534	0.99995807787	0.99827484696	0.999767966353	0.9997281904	0.999923860552	0.999371457401	0.998961862021
GS000b.fa.comb	0.964779049374	0.0	0.905623054889	0.90920205722	0.997406056597	0.994520749354	0.969706810962	0.999954418032	0.999978879839	0.999994596625	0.999952420099	0.999575438029	0.999945675793	0.999682209317	0.999878935541	0.999762316554	0.999981884673	1.0	0.999890161309	0.990960958605	0.98471685465	0.986054530477	0.969128037567	0.981149018423	0.986740478006	0.999934804045	0.996280441358	0.996144398212	0.990809162408	0.996980708049	0.994241321495	0.997185031339	0.997432007459	0.999228898908	0.994780669849	0.993667568583	0.999423901221	0.999871215086	0.998352258005	0.999222697241	0.999148759367	0.999791040878	0.998721304374	0.997287980599
GS000c.fa.comb	0.969606574541	0.905623054889	0.0	0.912676960382	0.999178382862	0.998342541436	0.990420351008	0.99996329714	0.999995353592	0.999990516698	0.999990696939	0.999953327079	0.999980943987	0.999935806135	0.999946445068	0.99975846437	0.999991890851	0.999995959571	0.999893463387	0.987683838303	0.983518642797	0.983901830199	0.972705039463	0.986688246954	0.991482862583	0.999909800207	0.996356612529	0.99659936758	0.994668111882	0.9987211597	0.997111610182	0.997962481914	0.998293561241	0.99930850341	0.99504112024	0.990472358414	0.999787173529	0.999977381749	0.998481662699	0.999226918919	0.99930551355	0.999760647173	0.999314718828	0.998131843629
GS000d.fa.comb	0.965259096429	0.90920205722	0.912676960382	0.0	0.997425156766	0.994550331447	0.971440751217	0.999942709825	0.999964453021	1.0	0.999994915741	0.999979587619	0.999989562131	0.999930720185	0.999951402405	0.999814879769	0.999973723107	1.0	0.999914943022	0.990896177826	0.984717211849	0.986167771823	0.968956683468	0.98123301255	0.987295883995	0.999958637915	0.996569246484	0.995955074003	0.990298544352	0.997769981299	0.993750977128	0.997200173185	0.997417953853	0.999163376595	0.995148916968	0.993638122348	0.999646023596	0.999980478187	0.998319713151	0.999247443209	0.999258134893	0.999814028298	0.998875115188	0.997051311516
GS001a.fa.comb	0.997404273025	0.997406056597	0.999178382862	0.997425156766	0.0	0.989676622781	0.973362078883	0.999681748263	0.999852910172	0.999815678584	1.0	0.999990100529	0.999886206112	0.999720595426	0.999936838781	0.999909361178	1.0	1.0	0.999893004262	0.999771417616	0.99954025375	0.999242969637	0.998914818232	0.999123099318	0.999358967433	1.0	0.999919751961	0.999833342171	0.999520702389	0.999650220703	0.999657226802	0.999884752162	0.999897406187	0.999985395117	0.999784647779	0.999972354355	0.999931122361	0.999983225638	0.999891578936	0.999957622031	0.999954522716	0.999942313794	0.999932813437	0.999845209226
GS001b.fa.comb	0.996909293903	0.994520749354	0.998342541436	0.994550331447	0.989676622781	0.0	0.972726677435	0.99943528083	0.999777063799	0.999874881833	0.999960535663	0.999986718376	0.999718081545	0.999510337323	0.999894247039	0.999881802977	0.999981424724	1.0	0.999606880465	0.999699713363	0.998680515149	0.999064336068	0.997956876316	0.998228103814	0.998700437608	1.0	0.99982936916	0.99968950966	0.999124828091	0.999253223428	0.999380206908	0.99980190744	0.999835689052	0.999928068551	0.999613382305	0.999886214077	0.999958145511	0.999994892487	0.999884573722	0.999956844281	0.999964379642	0.999936132844	0.99985980832	0.999745323734
GS001c.fa.comb	0.983133715447	0.969706810962	0.990420351008	0.971440751217	0.973362078883	0.972726677435	0.0	0.999579323271	0.999545324638	0.999862363223	1.0	0.999973689403	0.999888370276	0.999855859752	0.999941743274	0.999871084937	0.999963097248	0.999972541679	0.999852420307	0.998146775389	0.996158625115	0.995771689456	0.991329744065	0.993832254332	0.995353045556	0.999974273616	0.999384338097	0.99870101349	0.995891784456	0.999652618039	0.997528952778	0.999198552306	0.999068950935	0.999651599071	0.998555934291	0.999659575756	0.999983358919	1.0	0.999205992113	0.999845602899	0.999658600616	0.999873434544	0.999040246505	0.998481925425
GS002.fa.comb	0.999945108443	0.999954418032	0.99996329714	0.999942709825	0.999681748263	0.99943528083	0.999579323271	0.0	0.93562051366	0.953800938418	0.989207589713	0.951354064953	0.948426725387	0.985798722363	0.980098858596	0.986372777572	0.997731937811	0.999927346702	0.98785931909	0.999952091027	0.999951797937	0.999919585706	0.99990505603	0.999962168931	0.999968861297	1.0	1.0	0.999983556148	1.0	0.999983488882	0.999928666328	0.999906887421	0.999909864088	0.999992098578	0.999966718115	0.999928314256	0.99988130916	0.999992627589	1.0	0.999992378165	0.999989956209	0.999978639325	0.999989339758	0.999992018262
GS003.fa.comb	0.999997163764	0.999978879839	0.999995353592	0.999964453021	0.999852910172	0.999777063799	0.999545324638	0.93562051366	0.0	0.961960127091	0.992585712423	0.935787078263	0.946245059289	0.989135208617	0.988517330457	0.990965556183	0.99910771877	0.999914788009	0.991765094822	0.999937004567	0.999989416141	0.999978805364	0.999956138427	1.0	0.999989844107	1.0	1.0	1.0	0.999979450929	1.0	0.999878281085	0.999950649488	0.999952125813	0.999979288991	0.999995246663	0.99995180781	0.999971377187	0.999997346988	1.0	0.999970358514	0.999956878894	1.0	1.0	1.0
GS004.fa.comb	0.999991385672	0.999994596625	0.999990516698	1.0	0.999815678584	0.999874881833	0.999862363223	0.953800938418	0.961960127091	0.0	0.983030940486	0.957847262913	0.975158506432	0.989365547001	0.993089473923	0.99427104363	0.999425008738	0.99996650309	0.994345312893	0.999967004685	1.0	0.999988893887	0.999993559606	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999922912371	0.999985456608	1.0	1.0	1.0	0.999975478176	0.999940291675	0.999997316207	1.0	0.999958714578	0.999984673977	1.0	1.0	1.0
