	O2.UC-1	O2.UC-11	O2.UC-12	O2.UC-13	O2.UC-14	O2.UC-16	O2.UC-17	O2.UC-18	O2.UC-19	O2.UC-20	O2.UC-21	O2.UC-22	O2.UC-23	O2.UC-24	O2.UC-4	V1.CD-1	V1.CD-11	V1.CD-12	V1.CD-13	V1.CD-14	V1.CD-15	V1.CD-2	V1.CD-3	V1.CD-4	V1.CD-6	V1.CD-8	V1.CD-9	V1.UC-10	V1.UC-13	V1.UC-14	V1.UC-15	V1.UC-17	V1.UC-18	V1.UC-19	V1.UC-21	V1.UC-6	V1.UC-7	V1.UC-8	V1.UC-9
O2.UC-1	0.0	0.988544033044	0.987251720483	0.996570811075	0.996658350314	0.99256807068	0.996719368511	0.967905896935	0.979910266559	0.953369295422	0.998393834322	0.984282666024	0.98786796456	0.988219454881	0.990355736067	0.99445860954	0.996803545948	0.981036156381	0.984476478497	0.969860788142	0.995547299021	0.995638206452	0.995946167919	0.992663900415	0.987217269567	0.992999690307	0.986239956113	0.978585172744	0.96165938353	0.988329141244	0.978772531517	0.996822221058	0.987455038747	0.99258490353	0.976176859673	0.979876594363	0.982154758183	0.981537473873	0.992868666225
O2.UC-11	0.988544033044	0.0	0.984101757763	0.992790371828	0.96718087119	0.983155139443	0.990745673609	0.94709032286	0.977734819996	0.985557608594	0.998997604683	0.993229996701	0.978604869388	0.970442324404	0.996027497123	0.996012766913	0.997048245095	0.902240002775	0.967285801425	0.994126448328	0.998136573907	0.993332403161	0.996422085762	0.988277701742	0.990836977966	0.970923391961	0.990836820084	0.978699394545	0.986929761764	0.980540033181	0.994766056147	0.992560422775	0.996162018437	0.993326836188	0.978197464146	0.977744121744	0.989278087298	0.980175795461	0.974838522442
O2.UC-12	0.987251720483	0.984101757763	0.0	0.985355366894	0.98983228164	0.989272918796	0.998894885259	0.975922507872	0.961457685878	0.979032349469	0.997612569193	0.988722937839	0.986719741912	0.972357716593	0.991272496818	0.996104478245	0.998900369431	0.973964830915	0.980973569119	0.995751269132	0.998411713522	0.993432470989	0.991706531876	0.984712078148	0.991263834743	0.976247874533	0.994486947818	0.963226649574	0.996519784485	0.980555936034	0.995327018477	0.995086630742	0.992189229851	0.984503057902	0.985164427123	0.974356543292	0.993139151389	0.988563752162	0.986852964544
O2.UC-13	0.996570811075	0.992790371828	0.985355366894	0.0	0.992890187541	0.991236759653	0.998988750886	0.99160781462	0.991255514106	0.993110243412	0.998101064135	0.982047863967	0.992780667559	0.986108014947	0.992874837261	0.996648089653	0.999171207033	0.990704329395	0.985575969485	0.995208277731	0.99506459133	0.992296615862	0.996463546513	0.982633119191	0.980436205814	0.978028550368	0.995224972339	0.989551340119	0.993916856476	0.991529058591	0.996120964655	0.979629652881	0.99608301811	0.984557110468	0.981750479717	0.972019632415	0.989804718906	0.97979806103	0.992586050081
O2.UC-14	0.996658350314	0.96718087119	0.98983228164	0.992890187541	0.0	0.991891253538	0.999683258045	0.974253680629	0.965864769611	0.993394721018	0.999273820809	0.996734828538	0.995832204444	0.986354863849	0.995019546996	0.999061459101	0.999703892186	0.984025683888	0.99431650791	0.99819308931	0.999591334171	0.987163060384	0.999008664151	0.991604762455	0.99798148105	0.993784812736	0.998597988896	0.992844722451	0.998751500566	0.970047087222	0.998082704574	0.98133691337	0.998649635318	0.997003006947	0.994958219439	0.995622478374	0.99503515573	0.997033102864	0.996092986108
O2.UC-16	0.99256807068	0.983155139443	0.989272918796	0.991236759653	0.991891253538	0.0	0.998071645776	0.984490079307	0.991378004871	0.988890404234	0.99800063103	0.992165453102	0.992261257942	0.984333072887	0.994268441236	0.979259143793	0.99594106349	0.992798873202	0.992255713733	0.993636597974	0.994797735745	0.988488587706	0.995092437661	0.991847134565	0.985939787714	0.993425285974	0.983517179473	0.992434171132	0.996481070762	0.989321546549	0.996838196532	0.995377920454	0.988676664363	0.993802396869	0.986566105687	0.990157721781	0.975288852989	0.991030801331	0.996027362787
O2.UC-17	0.996719368511	0.990745673609	0.998894885259	0.998988750886	0.999683258045	0.998071645776	0.0	0.996839176821	0.9989600838	0.996541665296	0.999107921317	0.982724969579	0.977782775969	0.998306965414	0.998257063147	0.982326404063	0.934233321467	0.998171878724	0.996542954399	0.971539855576	0.989745906083	0.99965667059	0.999355967082	0.995623568978	0.99161828036	0.997867685103	0.975445754046	0.992755509673	0.958455399221	0.999018029116	0.979655147252	0.99375765596	0.991157685669	0.99867830633	0.998304865058	0.994395694776	0.988400726374	0.991844955619	0.992209028635
O2.UC-18	0.967905896935	0.94709032286	0.975922507872	0.99160781462	0.974253680629	0.984490079307	0.996839176821	0.0	0.95545606404	0.965617620625	0.998493175366	0.986472855746	0.967763001749	0.971512755466	0.990488463009	0.996391750514	0.998406597389	0.949201580428	0.960188515613	0.986593400352	0.994442260761	0.993731418354	0.994812353858	0.986293497097	0.969980755026	0.97714341811	0.981405774217	0.965850962782	0.959004387128	0.971948539164	0.991103018712	0.994933434799	0.984506109488	0.980755439102	0.982360819154	0.954013405472	0.982250314031	0.978719857299	0.978280068679
O2.UC-19	0.979910266559	0.977734819996	0.961457685878	0.991255514106	0.965864769611	0.991378004871	0.9989600838	0.95545606404	0.0	0.984352546204	0.998997676593	0.990604129429	0.979435958874	0.980665695187	0.992443329156	0.997252586447	0.999179648637	0.979299202472	0.972628421989	0.993878791565	0.998200628283	0.989058468192	0.995819253762	0.983552570347	0.990868690801	0.987701042685	0.994206140398	0.98204960926	0.98827113381	0.98274153006	0.9956092736	0.992621333766	0.989618145367	0.990667114083	0.977388193425	0.972463222093	0.98130158556	0.984370100124	0.983993144709
O2.UC-20	0.953369295422	0.985557608594	0.979032349469	0.993110243412	0.993394721018	0.988890404234	0.996541665296	0.965617620625	0.984352546204	0.0	0.997704469605	0.976543139163	0.964527561432	0.982543621043	0.978724423637	0.991940773546	0.998212427447	0.968213478127	0.97370372412	0.975189294816	0.995403224186	0.996898888035	0.994461362084	0.981594780467	0.982447376653	0.970161840507	0.979197655822	0.945899290805	0.981004818411	0.986550282162	0.97592968924	0.994322346002	0.975748727041	0.974827844281	0.983059463751	0.963246103371	0.980946870769	0.974566306577	0.978752395079
