	O2.UC-1	O2.UC-11	O2.UC-12	O2.UC-13	O2.UC-14	O2.UC-16	O2.UC-17	O2.UC-18	O2.UC-19	O2.UC-20	O2.UC-21	O2.UC-22	O2.UC-23	O2.UC-24	O2.UC-4	V1.CD-1	V1.CD-11	V1.CD-12	V1.CD-13	V1.CD-14	V1.CD-15	V1.CD-2	V1.CD-3	V1.CD-4	V1.CD-6	V1.CD-8	V1.CD-9	V1.UC-10	V1.UC-13	V1.UC-14	V1.UC-15	V1.UC-17	V1.UC-18	V1.UC-19	V1.UC-21	V1.UC-6	V1.UC-7	V1.UC-8	V1.UC-9
O2.UC-1	0.0	0.988544033044	0.987251720483	0.996570811075	0.996658350314	0.9925680706799999	0.996719368511	0.967905896935	0.979910266559	0.953369295422	0.998393834322	0.984282666024	0.98786796456	0.988219454881	0.990355736067	0.99445860954	0.9968035459479999	0.981036156381	0.984476478497	0.9698607881419999	0.9955472990209999	0.995638206452	0.9959461679189999	0.992663900415	0.987217269567	0.992999690307	0.9862399561130001	0.9785851727439999	0.9616593835299998	0.9883291412440001	0.978772531517	0.996822221058	0.9874550387469999	0.9925849035299998	0.9761768596729999	0.9798765943629999	0.9821547581829999	0.9815374738729999	0.992868666225
O2.UC-11	0.988544033044	0.0	0.984101757763	0.9927903718279999	0.9671808711900001	0.9831551394429999	0.990745673609	0.94709032286	0.977734819996	0.985557608594	0.998997604683	0.993229996701	0.9786048693880001	0.970442324404	0.996027497123	0.996012766913	0.997048245095	0.902240002775	0.967285801425	0.994126448328	0.998136573907	0.993332403161	0.996422085762	0.988277701742	0.990836977966	0.970923391961	0.990836820084	0.9786993945450001	0.986929761764	0.980540033181	0.9947660561470001	0.992560422775	0.996162018437	0.993326836188	0.978197464146	0.977744121744	0.989278087298	0.9801757954610001	0.9748385224420001
O2.UC-12	0.987251720483	0.984101757763	0.0	0.985355366894	0.9898322816399999	0.989272918796	0.998894885259	0.9759225078720001	0.961457685878	0.979032349469	0.997612569193	0.9887229378389999	0.9867197419120001	0.972357716593	0.9912724968179999	0.9961044782449999	0.998900369431	0.973964830915	0.980973569119	0.9957512691320001	0.998411713522	0.993432470989	0.991706531876	0.984712078148	0.991263834743	0.976247874533	0.9944869478180001	0.963226649574	0.9965197844850001	0.980555936034	0.995327018477	0.995086630742	0.992189229851	0.984503057902	0.985164427123	0.9743565432919999	0.993139151389	0.988563752162	0.9868529645440001
O2.UC-13	0.996570811075	0.9927903718279999	0.985355366894	0.0	0.992890187541	0.991236759653	0.9989887508859999	0.9916078146200001	0.9912555141060001	0.9931102434119999	0.998101064135	0.982047863967	0.992780667559	0.986108014947	0.992874837261	0.9966480896529999	0.999171207033	0.9907043293950001	0.985575969485	0.9952082777310001	0.9950645913299999	0.992296615862	0.996463546513	0.982633119191	0.980436205814	0.978028550368	0.995224972339	0.9895513401189999	0.9939168564759999	0.991529058591	0.996120964655	0.979629652881	0.99608301811	0.984557110468	0.981750479717	0.972019632415	0.989804718906	0.9797980610299999	0.992586050081
O2.UC-14	0.996658350314	0.9671808711900001	0.9898322816399999	0.992890187541	0.0	0.991891253538	0.999683258045	0.9742536806290001	0.965864769611	0.993394721018	0.999273820809	0.996734828538	0.995832204444	0.9863548638490001	0.9950195469959999	0.999061459101	0.9997038921860001	0.9840256838879999	0.99431650791	0.9981930893100001	0.999591334171	0.9871630603839999	0.999008664151	0.991604762455	0.9979814810500001	0.993784812736	0.9985979888959999	0.9928447224510001	0.998751500566	0.9700470872220001	0.998082704574	0.9813369133700002	0.998649635318	0.9970030069470001	0.9949582194390001	0.9956224783740001	0.99503515573	0.997033102864	0.996092986108
O2.UC-16	0.9925680706799999	0.9831551394429999	0.989272918796	0.991236759653	0.991891253538	0.0	0.998071645776	0.984490079307	0.991378004871	0.988890404234	0.9980006310299998	0.9921654531020001	0.992261257942	0.984333072887	0.9942684412360001	0.9792591437929999	0.9959410634899999	0.992798873202	0.992255713733	0.993636597974	0.994797735745	0.988488587706	0.9950924376610001	0.991847134565	0.985939787714	0.9934252859739999	0.983517179473	0.9924341711319999	0.996481070762	0.989321546549	0.996838196532	0.995377920454	0.988676664363	0.9938023968690001	0.986566105687	0.990157721781	0.9752888529889999	0.9910308013310001	0.996027362787
O2.UC-17	0.996719368511	0.990745673609	0.998894885259	0.9989887508859999	0.999683258045	0.998071645776	0.0	0.996839176821	0.9989600837999999	0.996541665296	0.999107921317	0.982724969579	0.977782775969	0.998306965414	0.998257063147	0.982326404063	0.934233321467	0.998171878724	0.996542954399	0.9715398555760001	0.989745906083	0.99965667059	0.9993559670819999	0.995623568978	0.99161828036	0.997867685103	0.975445754046	0.992755509673	0.958455399221	0.9990180291159999	0.979655147252	0.99375765596	0.991157685669	0.9986783063299999	0.998304865058	0.994395694776	0.988400726374	0.9918449556190001	0.992209028635
O2.UC-18	0.967905896935	0.94709032286	0.9759225078720001	0.9916078146200001	0.9742536806290001	0.984490079307	0.996839176821	0.0	0.9554560640399999	0.965617620625	0.9984931753659999	0.986472855746	0.967763001749	0.971512755466	0.990488463009	0.9963917505140001	0.9984065973890001	0.949201580428	0.9601885156129999	0.986593400352	0.9944422607610001	0.993731418354	0.994812353858	0.986293497097	0.969980755026	0.97714341811	0.981405774217	0.965850962782	0.959004387128	0.971948539164	0.9911030187119999	0.994933434799	0.984506109488	0.980755439102	0.982360819154	0.954013405472	0.9822503140309999	0.978719857299	0.978280068679
O2.UC-19	0.979910266559	0.977734819996	0.961457685878	0.9912555141060001	0.965864769611	0.991378004871	0.9989600837999999	0.9554560640399999	0.0	0.9843525462039999	0.998997676593	0.990604129429	0.979435958874	0.9806656951870001	0.992443329156	0.9972525864470001	0.999179648637	0.979299202472	0.972628421989	0.9938787915649999	0.998200628283	0.9890584681919999	0.9958192537620001	0.983552570347	0.990868690801	0.987701042685	0.994206140398	0.98204960926	0.98827113381	0.98274153006	0.9956092736	0.9926213337659999	0.989618145367	0.990667114083	0.977388193425	0.972463222093	0.9813015855600001	0.9843701001240001	0.983993144709
O2.UC-20	0.953369295422	0.985557608594	0.979032349469	0.9931102434119999	0.993394721018	0.988890404234	0.996541665296	0.965617620625	0.9843525462039999	0.0	0.997704469605	0.976543139163	0.9645275614319999	0.9825436210430001	0.9787244236370001	0.991940773546	0.998212427447	0.968213478127	0.9737037241200001	0.975189294816	0.9954032241859999	0.9968988880349999	0.9944613620839999	0.981594780467	0.982447376653	0.9701618405069999	0.979197655822	0.945899290805	0.9810048184110001	0.9865502821619999	0.9759296892399999	0.994322346002	0.975748727041	0.974827844281	0.9830594637510001	0.963246103371	0.980946870769	0.974566306577	0.978752395079
