	sequences per sample	iteration	sample1A	sample1B	sample1C
alpha_rarefaction_250000_0.biom	250000	0	223765.093378	222085.370727	216322.702179
alpha_rarefaction_500000_0.biom	500000	0	346549.046867	339606.942184	343450.857481
alpha_rarefaction_750000_0.biom	750000	0	394285.649235	388714.119613	392289.145486
alpha_rarefaction_1000000_0.biom	1000000	0	437275.758694	427363.841917	429963.325001
alpha_rarefaction_1250000_0.biom	1250000	0	482024.442203	475740.251948	474627.781448
alpha_rarefaction_1500000_0.biom	1500000	0	538479.245297	531303.31978	525554.408702
alpha_rarefaction_1750000_0.biom	1750000	0	605922.7557	595792.173716	584526.575859
alpha_rarefaction_2000000_0.biom	2000000	0	678309.154375	673733.85245	655071.033946
alpha_rarefaction_2250000_0.biom	2250000	0	763471.216424	770304.104026	734782.723585
alpha_rarefaction_2500000_0.biom	2500000	0	857905.550149	879974.104343	829829.713448
