	sequences per sample	iteration	iowa_corn	iowa_prairie	kansas_corn	kansas_prairie	wisconsin_corn	wisconsin_prairie	wisconsin_restored	wisconsin_switchgrass
alpha_rarefaction_10_0.biom	10	0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_1.biom	10	1	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_2.biom	10	2	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_3.biom	10	3	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_4.biom	10	4	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_5.biom	10	5	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_6.biom	10	6	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_7.biom	10	7	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_8.biom	10	8	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_9.biom	10	9	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_199879_0.biom	199879	0	26162600.1902	12805964.6904	76038210.771	51145280.329	74890280.6353	28995166.9211	38361089.6486	59779179.2462
alpha_rarefaction_199879_1.biom	199879	1	24439475.463	12227328.8262	71906222.343	52226517.9213	70381008.5442	30015196.3086	40815215.2731	66153633.01
alpha_rarefaction_199879_2.biom	199879	2	24406891.111	12045502.1001	71907663.4296	52228087.7244	72153017.9167	32432971.8382	39197302.4813	61832466.2174
alpha_rarefaction_199879_3.biom	199879	3	25450803.7468	12132147.5797	76038210.771	50238685.4798	77502798.8755	30014293.2421	39986775.7203	61067058.5767
alpha_rarefaction_199879_4.biom	199879	4	26736088.2146	11941910.2301	72160969.0326	55904173.4719	71129388.3214	28288041.786	37275914.0113	61449554.5556
alpha_rarefaction_199879_5.biom	199879	5	24525648.9703	12675842.0852	76035926.1832	54974284.2652	71128676.5357	31348207.7346	40646652.9509	68435171.9175
alpha_rarefaction_199879_6.biom	199879	6	26956773.2082	12253677.1579	70132486.3239	50112140.6801	69388274.7596	28828038.8299	43123189.3688	59950826.3163
alpha_rarefaction_199879_7.biom	199879	7	27832298.7528	12294390.0895	78439393.8819	51415263.031	74612783.0449	29970758.8565	42391017.9083	57863585.5291
alpha_rarefaction_199879_8.biom	199879	8	27063987.4549	11835073.3589	70385238.1661	51010562.3077	70129676.2606	29391489.4756	43601272.7303	62217047.3469
alpha_rarefaction_199879_9.biom	199879	9	26019599.6255	12594035.4689	73229491.3676	53637995.6119	75748334.1369	31599058.1672	39667919.99	61443397.8364
alpha_rarefaction_399748_0.biom	399748	0	26594706.8727	13037979.0335	73152285.8315	55692666.9593	73963684.4218	31137978.1438	40810293.4912	65720301.3916
alpha_rarefaction_399748_1.biom	399748	1	26237324.8159	12976881.5288	76920886.2314	52842055.05	73821025.4898	30937016.2319	40452792.9596	63959893.946
alpha_rarefaction_399748_2.biom	399748	2	27930339.1304	13507661.9771	74605556.1324	52668087.4691	74171237.7087	31477850.5752	42861536.0829	65288590.477
alpha_rarefaction_399748_3.biom	399748	3	25585419.1939	12883689.1798	73555733.7093	55654142.3621	77679801.2151	30262616.538	41925235.3773	63804054.4783
alpha_rarefaction_399748_4.biom	399748	4	26736130.4857	12923032.3771	74800550.9068	53385175.2189	77365228.7722	31733570.1111	40655869.071	63911603.4791
alpha_rarefaction_399748_5.biom	399748	5	26900110.0113	13377426.6849	75387187.4858	54640463.6844	77368330.0146	31220686.2242	39699441.497	63909040.0604
alpha_rarefaction_399748_6.biom	399748	6	26015056.2315	13066033.4695	77372598.8247	54157722.502	76319426.511	32299627.5827	39934823.9773	66202318.6272
alpha_rarefaction_399748_7.biom	399748	7	26483359.9164	12872353.9249	74748919.1279	53791657.3128	77601218.8438	32032907.076	40353652.4087	62939480.6495
alpha_rarefaction_399748_8.biom	399748	8	26142840.8888	12911570.2068	77220667.1487	55964976.8546	76698142.4131	31333776.095	40872127.4667	65177464.5
alpha_rarefaction_399748_9.biom	399748	9	26538900.7905	13269561.3567	79796757.8645	54113425.0041	76163535.2895	31807970.839	40771291.2242	63595087.9375
alpha_rarefaction_599617_0.biom	599617	0	26592309.6431	13839677.4679	78756541.1228	56450648.8203	76217237.1069	31759536.5839	40522278.6506	63941035.2015
alpha_rarefaction_599617_1.biom	599617	1	27494519.7888	13764708.0493	77080672.297	55688358.7509	77991044.1942	31627439.8192	41541451.5364	62580799.846
alpha_rarefaction_599617_2.biom	599617	2	26796231.5537	13792777.0994	78239497.0904	56865215.1564	75334381.1602	31796653.0119	41792707.7305	61933373.5044
alpha_rarefaction_599617_3.biom	599617	3	27203196.7186	13858456.2517	74884739.6618	54851070.5324	78235308.6516	32174685.1678	41813850.6883	63513706.7291
alpha_rarefaction_599617_4.biom	599617	4	26771084.8245	13637659.5462	76250351.2062	55895498.3443	78274363.0588	31496176.9129	42940323.9188	64279008.5233
alpha_rarefaction_599617_5.biom	599617	5	27464113.8011	13625001.5143	76316650.4516	56352481.5694	77237565.1447	32663129.1023	40981974.3752	63983360.8138
alpha_rarefaction_599617_6.biom	599617	6	27563698.0173	13750709.2768	79574407.7876	55507940.3654	74483912.6252	32521024.3994	41517097.6984	63343492.9246
alpha_rarefaction_599617_7.biom	599617	7	26952251.0297	13610824.9412	79757146.4432	57358259.9987	78571947.9057	31071789.4286	40530877.6304	65503944.4967
alpha_rarefaction_599617_8.biom	599617	8	27626987.3918	13760325.7961	76611811.6485	55287182.6273	77958774.0223	32330278.9949	40711937.3533	63937396.7913
alpha_rarefaction_599617_9.biom	599617	9	27263493.6106	13607660.2838	76045250.7082	54988675.9592	75720432.5042	31893196.1046	41512373.8753	65460164.571
alpha_rarefaction_799486_0.biom	799486	0	27312573.7066	14209163.3379	78358983.9804	57804192.0083	78299368.7823	32179896.2848	42041724.0593	64114074.4407
alpha_rarefaction_799486_1.biom	799486	1	27763084.2001	14183740.7211	80860790.7898	57318713.0306	77760259.4517	32738660.5699	42142927.7079	65063616.2717
alpha_rarefaction_799486_2.biom	799486	2	27637610.3923	14145600.3524	77658498.7582	57331456.5723	77866965.4002	32567919.8306	41649907.6563	63817632.2896
alpha_rarefaction_799486_3.biom	799486	3	27598703.6263	13978234.5291	80619262.1486	57087048.4023	77908103.3978	32189233.64	41632986.8692	67203757.0848
alpha_rarefaction_799486_4.biom	799486	4	27471521.1406	14049136.8636	78936073.6632	56468410.017	75005516.4256	32678770.5381	42392233.9591	64742309.2081
alpha_rarefaction_799486_5.biom	799486	5	28163772.7309	14282647.1739	79062756.7204	56243115.141	78517632.0522	32665159.3501	41847511.8086	64853516.6022
alpha_rarefaction_799486_6.biom	799486	6	27926332.5445	14164313.8085	79616704.0829	56546751.8958	77972219.148	32432446.9533	41995920.0052	63560771.9532
alpha_rarefaction_799486_7.biom	799486	7	27876164.2572	14280597.4808	79576428.104	56290698.1287	78444625.5521	32119729.2634	42118668.6774	65611805.1502
alpha_rarefaction_799486_8.biom	799486	8	27560299.4077	14166653.8909	80049614.3253	56554715.6864	79374836.4032	32913552.3304	42512170.5024	62645093.3163
alpha_rarefaction_799486_9.biom	799486	9	27950435.0209	14123769.0423	79371058.3058	56789570.5151	75525372.5131	32490790.2365	42752027.174	65225340.3548
alpha_rarefaction_999355_0.biom	999355	0	28173115.0721	14653097.4691	82152767.5438	57526115.0065	78316023.8005	32727534.7111	42578340.6404	65572129.6004
alpha_rarefaction_999355_1.biom	999355	1	28102525.932	14682822.8071	80621989.4532	57852521.2482	78151831.4452	32945362.7488	43059748.6041	65659175.4039
alpha_rarefaction_999355_2.biom	999355	2	27924120.3118	14679411.3481	79107533.5089	56913088.4072	78618660.7614	33084671.0531	42516896.1338	64738218.3026
alpha_rarefaction_999355_3.biom	999355	3	27969009.0124	14773393.7427	80269369.5572	56756055.618	78848717.4428	32852655.0672	42440516.2085	65681397.8903
alpha_rarefaction_999355_4.biom	999355	4	27847920.1262	14795580.0297	78880959.2716	57911928.5681	77869206.0436	32335138.0177	42454353.599	65395871.3591
alpha_rarefaction_999355_5.biom	999355	5	28052889.6191	14621565.3476	80180508.509	56513646.6907	79112287.44	32957591.333	43244325.0621	65134737.5097
alpha_rarefaction_999355_6.biom	999355	6	27922876.807	14729309.9933	79785216.1581	57406817.9427	77768896.5202	32809433.7788	42118097.5053	66119202.2769
alpha_rarefaction_999355_7.biom	999355	7	27799268.6374	14708789.928	80930849.227	56824392.2512	76394987.1364	32556101.4314	42417884.5139	65504438.0783
