	sequences per sample	iteration	sampleI	sampleJ
alpha_rarefaction_20000_0.biom	20000	0	58632.2979438	59179.2538366
alpha_rarefaction_40000_0.biom	40000	0	57240.5793252	59830.2166934
alpha_rarefaction_60000_0.biom	60000	0	56832.4651826	61381.9130964
alpha_rarefaction_80000_0.biom	80000	0	56752.1539073	61027.7800901
alpha_rarefaction_100000_0.biom	100000	0	57447.7886863	61262.7540432
alpha_rarefaction_120000_0.biom	120000	0	57096.5002894	61472.5057364
alpha_rarefaction_140000_0.biom	140000	0	57234.920159	61579.7815854
alpha_rarefaction_160000_0.biom	160000	0	57142.0729098	61729.7088642
alpha_rarefaction_180000_0.biom	180000	0	57279.1697973	62073.7275051
alpha_rarefaction_200000_0.biom	200000	0	57123.6335054	61972.9193695
alpha_rarefaction_220000_0.biom	220000	0	57348.3939559	62001.4537567
alpha_rarefaction_240000_0.biom	240000	0	57281.7295977	62417.3901725
alpha_rarefaction_260000_0.biom	260000	0	57345.7431556	62407.9613155
alpha_rarefaction_280000_0.biom	280000	0	57352.5587021	62526.6140377
alpha_rarefaction_300000_0.biom	300000	0	57333.1618457	62818.5913179
alpha_rarefaction_320000_0.biom	320000	0	57360.2225528	62853.0669029
alpha_rarefaction_340000_0.biom	340000	0	57368.4880521	62957.9407143
alpha_rarefaction_360000_0.biom	360000	0	57408.3842975	63026.1194156
alpha_rarefaction_380000_0.biom	380000	0	57393.5431349	63341.4592867
alpha_rarefaction_400000_0.biom	400000	0	57427.2735426	63372.5555979
alpha_rarefaction_420000_0.biom	420000	0	57445.6943105	63625.2284197
alpha_rarefaction_440000_0.biom	440000	0	57464.9825581	63720.3455344
