	sequences per sample	iteration	sampleA	sampleB	sampleC	sampleD
alpha_rarefaction_20000_0.biom	20000	0	68412.1039558	57236.1041152	66857.8579802	94723.5899705
alpha_rarefaction_40000_0.biom	40000	0	67086.585788	55648.8484631	68191.763904	97305.4346418
alpha_rarefaction_60000_0.biom	60000	0	69878.923588	55392.888899	69562.0238342	99064.8409894
alpha_rarefaction_80000_0.biom	80000	0	70092.8361995	55865.8137506	69705.7411998	103326.364191
alpha_rarefaction_100000_0.biom	100000	0	69732.9012609	55634.8673078	70452.8464338	106743.192475
alpha_rarefaction_120000_0.biom	120000	0	70571.3983381	55511.7775431	71435.1738954	111108.897761
alpha_rarefaction_140000_0.biom	140000	0	70810.4241452	55787.9736062	71625.750071	113776.298342
alpha_rarefaction_160000_0.biom	160000	0	71586.6784867	55612.9586254	71935.925	117344.63681
alpha_rarefaction_180000_0.biom	180000	0	72427.2607782	55642.907369	72778.7775706	121639.305882
alpha_rarefaction_200000_0.biom	200000	0	72940.0537702	55655.5391524	73178.5950711	127325.240926
alpha_rarefaction_220000_0.biom	220000	0	73323.0423014	55534.4157127	74484.559415	134271.654165
alpha_rarefaction_240000_0.biom	240000	0	74201.4388633	55597.0591923	74931.2793512	140625.902074
alpha_rarefaction_260000_0.biom	260000	0	75437.0010271	55543.2309473	75839.054905	148755.67627
alpha_rarefaction_280000_0.biom	280000	0	76519.4273504	55626.665798	76840.3465771	158753.169302
alpha_rarefaction_300000_0.biom	300000	0	77740.1007905	55594.6277473	78051.9364413	172797.963389
alpha_rarefaction_320000_0.biom	320000	0	79021.4012336	55569.1226908	79115.8811787	184686.121991
alpha_rarefaction_340000_0.biom	340000	0	80851.1965015	55575.1025077	81515.3367152	201524.482958
alpha_rarefaction_360000_0.biom	360000	0	83092.845847	55604.9866989	83289.2001325	220716.073361
alpha_rarefaction_380000_0.biom	380000	0	85485.5421245	55572.9296407	87327.969141	244684.77767
alpha_rarefaction_400000_0.biom	400000	0	90371.9065327	55588.1073171	90567.925901	269148.399921
alpha_rarefaction_420000_0.biom	420000	0	93873.3256956	55599.068	94330.8009479	302564.178798
alpha_rarefaction_440000_0.biom	440000	0	100794.000476	55589.4173355	101809.101205	334470.051097
