	O2.UC-11	O2.UC-12	O2.UC-13	O2.UC-14	O2.UC-16	O2.UC-17	O2.UC-18	O2.UC-19	O2.UC-1	O2.UC-20	O2.UC-21	O2.UC-22	O2.UC-23	O2.UC-24	O2.UC-4	V1.CD-11	V1.CD-12	V1.CD-13	V1.CD-14	V1.CD-15	V1.CD-1	V1.CD-2	V1.CD-3	V1.CD-4	V1.CD-6	V1.CD-8	V1.CD-9	V1.UC-10	V1.UC-13	V1.UC-14	V1.UC-15	V1.UC-17	V1.UC-18	V1.UC-19	V1.UC-21	V1.UC-6	V1.UC-7	V1.UC-8	V1.UC-9
O2.UC-11	0.0	0.9849682371940001	0.975543188933	0.991098427471	0.9907535436660001	0.990321229516	0.9913664441869999	0.971941196992	0.983233768193	0.969764258205	0.9976217404359999	0.9811304849299999	0.984446546503	0.982350915009	0.9885788064309999	0.989466383877	0.9950489709289999	0.94644904813	0.9803292670880001	0.940928827147	0.993891079208	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-12	0.9849682371940001	0.0	0.9813345513480001	0.9858266588179999	0.977879318907	0.979987775278	0.9889251785330001	0.9640616313320001	0.9728361929770001	0.976000587976	0.9986992737260001	0.980406195608	0.9729646032089999	0.972010432676	0.994716739652	0.994129500632	0.991573908204	0.947449246004	0.966711356833	0.979535487652	0.988432645263	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-13	0.975543188933	0.9813345513480001	0.0	0.98698848222	0.990265688672	0.985479292611	0.9945232932529999	0.979273324194	0.977122176757	0.9795412349879999	0.9964033688349999	0.981298948747	0.980963547904	0.981507571242	0.985270876987	0.9876162981759999	0.994828527604	0.971230033227	0.9740448527150001	0.981849175766	0.9885524199019999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-14	0.991098427471	0.9858266588179999	0.98698848222	0.0	0.977179207343	0.957240971832	0.992616836284	0.986381439404	0.966147844053	0.985308932193	0.9977040790289999	0.978463396442	0.988268313364	0.95761512651	0.9901938253210001	0.989968923361	0.9839642950149999	0.9812335461120001	0.976920251123	0.983622379226	0.9847804207879999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-16	0.9907535436660001	0.977879318907	0.990265688672	0.977179207343	0.0	0.9699942820659999	0.994951667835	0.986598436302	0.9573229509360001	0.9927296204449999	0.998753390228	0.992812364531	0.994213046441	0.962039614082	0.995350222351	0.997059567882	0.9971185579170001	0.985573009711	0.9925462663169999	0.995719104676	0.9962303603370001	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-17	0.990321229516	0.979987775278	0.985479292611	0.957240971832	0.9699942820659999	0.0	0.9862332505149999	0.985814505693	0.940491856838	0.9818977420730001	0.997758125881	0.977619813953	0.988334965185	0.91976481381	0.993923814268	0.986562791441	0.9893230386040001	0.985883902172	0.9816393987369999	0.9771419503640001	0.977126402917	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-18	0.9913664441869999	0.9889251785330001	0.9945232932529999	0.992616836284	0.994951667835	0.9862332505149999	0.0	0.989288274184	0.988595173694	0.9873903755060001	0.998396179289	0.9789233903210001	0.9869890015009999	0.992486947583	0.995078062093	0.9860871171860001	0.956587401624	0.982173805943	0.9881108924650001	0.9812630555399999	0.986632624186	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-19	0.971941196992	0.9640616313320001	0.979273324194	0.986381439404	0.986598436302	0.985814505693	0.989288274184	0.0	0.965406625548	0.9648071955799999	0.998249599228	0.97459383206	0.968037738528	0.9768603399629999	0.9873679597949999	0.9916344219329999	0.9838800075309999	0.960176013097	0.9582897401899999	0.9695066430120001	0.98657976214	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-1	0.983233768193	0.9728361929770001	0.977122176757	0.966147844053	0.9573229509360001	0.940491856838	0.988595173694	0.965406625548	0.0	0.9815079999709999	0.998785172449	0.9863529602689999	0.9805211666120001	0.940633520738	0.992522312785	0.9953427674709999	0.992616499205	0.978126135317	0.969358694682	0.986943728582	0.994291946376	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-20	0.969764258205	0.976000587976	0.9795412349879999	0.985308932193	0.9927296204449999	0.9818977420730001	0.9873903755060001	0.9648071955799999	0.9815079999709999	0.0	0.997054864446	0.949049382563	0.954647729463	0.981116991832	0.980808028714	0.986432757641	0.976637973797	0.959651019895	0.961447784087	0.944355357992	0.975247279667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
