	sequences per sample	iteration	iowa_corn	iowa_prairie	kansas_corn	kansas_prairie	wisconsin_corn	wisconsin_prairie	wisconsin_restored	wisconsin_switchgrass
alpha_rarefaction_10_0.biom	10	0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_1.biom	10	1	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_2.biom	10	2	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_3.biom	10	3	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_4.biom	10	4	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_5.biom	10	5	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_6.biom	10	6	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_7.biom	10	7	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_8.biom	10	8	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_9.biom	10	9	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_99948_0.biom	99948	0	99674.0	99478.0	99861.0	99855.0	99879.0	99749.0	99840.0	99864.0
alpha_rarefaction_99948_1.biom	99948	1	99679.0	99500.0	99870.0	99866.0	99878.0	99795.0	99807.0	99868.0
alpha_rarefaction_99948_2.biom	99948	2	99693.0	99455.0	99864.0	99843.0	99873.0	99785.0	99816.0	99852.0
alpha_rarefaction_99948_3.biom	99948	3	99716.0	99487.0	99866.0	99868.0	99881.0	99753.0	99808.0	99854.0
alpha_rarefaction_99948_4.biom	99948	4	99671.0	99498.0	99858.0	99837.0	99878.0	99776.0	99815.0	99864.0
alpha_rarefaction_99948_5.biom	99948	5	99712.0	99513.0	99887.0	99823.0	99871.0	99773.0	99818.0	99853.0
