	sequences per sample	iteration	sample1A	sample1B	sample1C
alpha_rarefaction_250000_0.biom	250000	0	118686.0	119546.0	119072.0
alpha_rarefaction_500000_0.biom	500000	0	170742.0	171134.0	170748.0
alpha_rarefaction_750000_0.biom	750000	0	210080.0	210914.0	209072.0
alpha_rarefaction_1000000_0.biom	1000000	0	242554.0	242573.0	240567.0
alpha_rarefaction_1250000_0.biom	1250000	0	270546.0	270529.0	268263.0
alpha_rarefaction_1500000_0.biom	1500000	0	295480.0	294281.0	292328.0
alpha_rarefaction_1750000_0.biom	1750000	0	318511.0	315867.0	314143.0
alpha_rarefaction_2000000_0.biom	2000000	0	338844.0	336270.0	334377.0
alpha_rarefaction_2250000_0.biom	2250000	0	358367.0	355379.0	353246.0
alpha_rarefaction_2500000_0.biom	2500000	0	376966.0	373966.0	371398.0
