	sequences per sample	iteration	sampleA	sampleB	sampleC	sampleD
alpha_rarefaction_20000_0.biom	20000	0	17321.0	16806.0	17283.0	17980.0
alpha_rarefaction_40000_0.biom	40000	0	30153.0	28456.0	30149.0	32416.0
alpha_rarefaction_60000_0.biom	60000	0	39872.0	36585.0	39857.0	44205.0
alpha_rarefaction_80000_0.biom	80000	0	47174.0	42442.0	47166.0	53983.0
alpha_rarefaction_100000_0.biom	100000	0	52605.0	46339.0	52858.0	62124.0
alpha_rarefaction_120000_0.biom	120000	0	56702.0	49138.0	57062.0	69275.0
alpha_rarefaction_140000_0.biom	140000	0	59871.0	51151.0	60298.0	74893.0
alpha_rarefaction_160000_0.biom	160000	0	62424.0	52484.0	62943.0	80086.0
alpha_rarefaction_180000_0.biom	180000	0	64485.0	53462.0	64830.0	84335.0
alpha_rarefaction_200000_0.biom	200000	0	65971.0	54139.0	66328.0	88447.0
alpha_rarefaction_220000_0.biom	220000	0	67135.0	54510.0	67881.0	92102.0
alpha_rarefaction_240000_0.biom	240000	0	68347.0	54841.0	68848.0	95548.0
alpha_rarefaction_260000_0.biom	260000	0	69281.0	55070.0	69803.0	98530.0
alpha_rarefaction_280000_0.biom	280000	0	70187.0	55284.0	70573.0	101541.0
alpha_rarefaction_300000_0.biom	300000	0	70677.0	55350.0	71259.0	104763.0
alpha_rarefaction_320000_0.biom	320000	0	71350.0	55407.0	71798.0	107262.0
alpha_rarefaction_340000_0.biom	340000	0	71935.0	55459.0	72507.0	109566.0
alpha_rarefaction_360000_0.biom	360000	0	72437.0	55517.0	73054.0	112291.0
alpha_rarefaction_380000_0.biom	380000	0	72764.0	55521.0	73722.0	114744.0
alpha_rarefaction_400000_0.biom	400000	0	73593.0	55550.0	74024.0	117220.0
alpha_rarefaction_420000_0.biom	420000	0	73808.0	55572.0	74455.0	119610.0
alpha_rarefaction_440000_0.biom	440000	0	74564.0	55569.0	75139.0	121883.0
